    PID    PPID USER     STAT   RSS COMMAND         COMMAND
  35093       2 root     I        0 kworker/u49:3-f [kworker/u49:3-flush-259:0]
  35114       2 root     I        0 kworker/u50:1-e [kworker/u50:1-ext4-rsv-conversion]
  35384       2 root     I        0 kworker/7:1-eve [kworker/7:1-events]
  35570       2 root     I        0 kworker/2:0-eve [kworker/2:0-events]
  35573       2 root     I        0 kworker/u49:2-e [kworker/u49:2-ext4-rsv-conversion]
  35751       2 root     I        0 kworker/1:1     [kworker/1:1]
  35752       2 root     I        0 kworker/3:1-cgr [kworker/3:1-cgroup_release]
  35895       2 root     I        0 kworker/8:1     [kworker/8:1]
  35896       2 root     I        0 kworker/10:2-mm [kworker/10:2-mm_percpu_wq]
  36039       2 root     I        0 kworker/u48:1-g [kworker/u48:1-gfx_0.1.0]
  36106       2 root     I        0 kworker/7:0-cgr [kworker/7:0-cgroup_free]
  36107       2 root     I        0 kworker/11:2-mm [kworker/11:2-mm_percpu_wq]
  36161       2 root     I        0 kworker/4:0-eve [kworker/4:0-events]
  36163       2 root     I        0 kworker/u50:0-e [kworker/u50:0-events_power_efficient]
  36262       2 root     I        0 kworker/0:2-mm_ [kworker/0:2-mm_percpu_wq]
  36274       2 root     I        0 kworker/6:2-mm_ [kworker/6:2-mm_percpu_wq]
  36275       2 root     I        0 kworker/4:1     [kworker/4:1]
  36331       2 root     I        0 kworker/9:1-mm_ [kworker/9:1-mm_percpu_wq]
  36357       2 root     I        0 kworker/u49:0-f [kworker/u49:0-flush-259:0]
  36380       2 root     I        0 kworker/11:0    [kworker/11:0]
  36429       2 root     I        0 kworker/3:2     [kworker/3:2]
  36469       2 root     I        0 kworker/u48:0-g [kworker/u48:0-gfx_0.1.0]
  36489       2 root     I        0 kworker/3:0-mm_ [kworker/3:0-mm_percpu_wq]
  36500       2 root     I        0 kworker/0:0     [kworker/0:0]
  36524   22242 sanjevi  Ss    4240 bash            bash -s
  36527   36524 sanjevi  S     7328 tee             tee -a /home/sanjevi/fireside-phase1-full-gate-20260830T1200+0800-dc3438f/launch.log
  36533    5500 sanjevi  SNl  46516 localsearch-ext /usr/libexec/localsearch-extractor-3 --socket-fd 3
  36556   36524 sanjevi  R     4516 ps              ps -eo pid,ppid,user,stat,rss,comm,args --sort=pid
